SignDescription,X_2011NAD83,Y_2011NAD83,MERGE_SRC,Z
D1-1 / JUANITA DR NE,1209626.747385561466217,889190.496013730764389,Mach9_SignFace,44.337100000004284
R3-8L / ONLY,1213972.815793141722679,888107.180923148989677,Mach9_SignFace,57.720400000005611
W8-5 / Slippery When Wet,1192231.114525973796844,861754.838942885398865,Mach9_SignFace,288.697599999999511
D1-1 / APARTMENTS,1199270.361930385231972,879737.479486718773842,Mach9_SignFace,248.366200000004028
R3-8L / ONLY,1184726.541608631610870,899854.687611803412437,Mach9_SignFace,400.447000000000116
R10-5 / ,1213960.400463640689850,888082.711811974644661,Mach9_SignFace,55.018299999996088
R10-3e / Push Button Wait For Walk Signal,1180282.902858138084412,902912.542060390114784,Mach9_SignFace,289.420199999993201
R10-3e / Push Button Wait For Walk Signal,1209965.998675554990768,889255.595621064305305,Mach9_SignFace,39.492100000003120
D1-1 / ,1185567.655740052461624,898636.567016556859016,Mach9_SignFace,405.916100000002189
"R5-1 / DO NOT
ENTER",1188057.708830803632736,896883.812319979071617,Mach9_SignFace,370.914499999998952
R7-1 / NO PARKING ANY TIME,1190313.829646632075310,896624.016907811164856,Mach9_SignFace,304.792600000000675
S1-1 / ,1200359.404699802398682,890996.657099559903145,Mach9_SignFace,151.042100000006030
R10-11 / NO TURN ON RED,1199719.885637640953064,891088.021418139338493,Mach9_SignFace,145.675499999997555
W1-8 / ,1193096.514369964599609,896660.222215980291367,Mach9_SignFace,323.265100000004168
"R9-3a / PRIVATE PROPERTY
NO TRESPASSING",1203002.396461054682732,887304.948931813240051,Mach9_SignFace,35.056899999995949
R9-3b / USE CROSSWALK,1194363.009212300181389,864029.800272226333618,Mach9_SignFace,366.906900000001770
"R7-108 / 1 HOUR
7AM-6PM",1198648.639420554041862,875445.417532816529274,Mach9_SignFace,207.976800000004005
R2-1 / ,1215220.219138219952583,887469.077212482690811,Mach9_SignFace,71.097200000003795
R7-23 / 1 HOUR 7AM-6PM,1199005.205636560916901,876293.434537559747696,Mach9_SignFace,204.863200000007055
R3-8a / 195TH 25TH LEFT TURN LANE,1196834.900593966245651,893956.389040976762772,Mach9_SignFace,243.316999999995460
R1-2 / YIELD,1185982.975775554776192,898093.137985303997993,Mach9_SignFace,413.378299999996671
R10-6 / STOP HERE ON RED,1177567.926660805940628,906710.614516720175743,Mach9_SignFace,34.460000000006403
,1199665.724656715989113,890987.840516149997711,Mach9_SignFace,130.057799999995041
"R3-20-2HR / NO PARKING
7-9 AM
TOW AWAY ZONE
EXCEPT SAT-SUN-HOL
2 HOUR
9AM-6PM
EXCEPT SUN-HOL",1197925.018492475152016,873952.610150977969170,Mach9_SignFace,185.254600000000210
W11-2a / CROSSWALK,1198605.248431220650673,875481.885635718703270,Mach9_SignFace,215.474900000001071
RRFB / ,1198625.454099476337433,875488.338050648570061,Mach9_SignFace,208.281600000002072
R7-2a / <----,1195705.776539891958237,866042.604317471385002,Mach9_SignFace,256.843900000007125
R15-1 / RAILROAD CROSSING,1177824.940254390239716,909691.679420724511147,Mach9_SignFace,30.058000000004540
